id,date,text,target
0,6/20/2009,My concealer just broke! ,0
1,6/21/2009,Mommy leaves soon ,0
2,6/3/2009,@Boogaloo1 Not here it ain't!  I've got an epic poddy walk planned for tomorrow too...Xxx,0
3,6/16/2009,I want my Blackberry back!! ,0
4,6/16/2009,@Veganluke I can't even skype  still dont have my laptop. but yeah me and my boyfriend broke up.,0
5,6/15/2009,having problems with my macbook trackpad...might be goin to the apple shop to find out whats wrong... ,0
6,6/19/2009,goen to bed now... soo burnt!  gotta be at aspen at 10... getting my physical fitness on... gotta get skinny 4 LA lol,0
7,6/5/2009,stupid counselors... ,0
8,6/22/2009,"Jogging, isnt REALLY that cool, especially if you've got a fever ",0
9,5/29/2009,@AwesomeKenn lame right?  do u know what dates you'll be in Cali?,0
10,6/1/2009,Eurgh sleepy and do not want to be working ,0
11,4/19/2009,J G Ballard is dead. What a loss for the world of literature. ,0
12,5/30/2009,@jetowey feeling very blue about the whole thing. Might put it on the back burner and write something more commercial ,0
13,6/20/2009,I think the worst thing about today was seeing everyone cry. ,0
14,6/18/2009,@Ericamora2 omg i just saw what i wrote! its cuz this comp. is slow so i cant see it until after. gosh u guys are mean!! ,0
15,6/3/2009,"I am starting to get hungry again, and we have no milk at work, that sucks alot. I want milk to my coffe. ",0
16,6/25/2009,Ugh. that was least sleep-filled night i've had in a long time. today will obv be a v productive day ,0
17,5/4/2009,@yomcat gonna have to be a no from me sorry - i dont have the cash atm. ,0
18,6/20/2009,@Heliproz what's up with the &quot;Add to wish list&quot; link? It doesn't work ,0
19,6/1/2009,i missmy old bestfreind/prince robbie ,0
20,5/10/2009,too bloody tired today... ,0
21,6/16/2009,@DonnieWahlberg I remember the news about it ,0
22,6/16/2009,"@GeminiTwisted I know!  But look at jones beach, there were lots of empty seats  And he gave away SO many at the today show, and that day.",0
23,6/1/2009,be careful what you wish for.. he gets to stay and i get to leave.. everyones wishes come true ,0
24,6/20/2009,@kttunstall i lost Eye to the Telescope. Disaster! ,0
25,5/31/2009,Couldn't make time to go get my hair done this week so now I'm stuck under the dryer ,0
26,6/1/2009,has mono ,0
