text,sentiment,sentiment_source,target_brand,source,text_length,word_count,tweet_id,date
".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",Negative,Brand-Specific,iPhone,Provided,127,23,1,
"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",Positive,Brand-Specific,iPad or iPhone App,Provided,139,22,2,
@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,Positive,Brand-Specific,iPad,Provided,79,15,3,
@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,Negative,Brand-Specific,iPad or iPhone App,Provided,82,15,4,
"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",Positive,Brand-Specific,Google,Provided,131,17,5,
@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,Neutral,Brand-Specific,Unknown,Provided,140,18,6,
"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Positive,Brand-Specific,Android,Provided,138,28,7,
Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,Positive,Brand-Specific,iPad or iPhone App,Provided,129,17,8,
Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,Positive,Brand-Specific,Apple,Provided,88,16,9,
Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,Positive,Brand-Specific,Android,Provided,118,21,10,
Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,Positive,Brand-Specific,Android App,Provided,129,19,11,
